TF	P_by_ChipSeq_UPPP:site-vs-nosite:odds.ratio	P_by_ChipSeq_UPPP:site-vs-nosite:num.sites	P_by_ChipSeq_UPPP:site-vs-nosite:num.not.sites	P_by_ChipSeq_UPPP:site-vs-nosite:neg.log10.corr.significance	P_by_ChipSeq_UPPP:site-vs-nosite:num.sites.shades-10k	P_by_ChipSeq_UPPP:site-vs-nosite:num.not.sites.shades-10k	P_by_ChipSeq_UPPP:site-vs-nosite:num.sites.shades-100k	P_by_ChipSeq_UPPP:site-vs-nosite:num.not.sites.shades-100k	P_by_ChipSeq_TUMOR:site-vs-nosite:odds.ratio	P_by_ChipSeq_TUMOR:site-vs-nosite:num.sites	P_by_ChipSeq_TUMOR:site-vs-nosite:num.not.sites	P_by_ChipSeq_TUMOR:site-vs-nosite:neg.log10.corr.significance	P_by_ChipSeq_TUMOR:site-vs-nosite:num.sites.shades-10k	P_by_ChipSeq_TUMOR:site-vs-nosite:num.not.sites.shades-10k	P_by_ChipSeq_TUMOR:site-vs-nosite:num.sites.shades-100k	P_by_ChipSeq_TUMOR:site-vs-nosite:num.not.sites.shades-100k	E_by_ChipSeq_UPPP:site-vs-nosite:odds.ratio	E_by_ChipSeq_UPPP:site-vs-nosite:num.sites	E_by_ChipSeq_UPPP:site-vs-nosite:num.not.sites	E_by_ChipSeq_UPPP:site-vs-nosite:neg.log10.corr.significance	E_by_ChipSeq_UPPP:site-vs-nosite:num.sites.shades-10k	E_by_ChipSeq_UPPP:site-vs-nosite:num.not.sites.shades-10k	E_by_ChipSeq_UPPP:site-vs-nosite:num.sites.shades-100k	E_by_ChipSeq_UPPP:site-vs-nosite:num.not.sites.shades-100k	E_by_ChipSeq_TUMOR:site-vs-nosite:odds.ratio	E_by_ChipSeq_TUMOR:site-vs-nosite:num.sites	E_by_ChipSeq_TUMOR:site-vs-nosite:num.not.sites	E_by_ChipSeq_TUMOR:site-vs-nosite:neg.log10.corr.significance	E_by_ChipSeq_TUMOR:site-vs-nosite:num.sites.shades-10k	E_by_ChipSeq_TUMOR:site-vs-nosite:num.not.sites.shades-10k	E_by_ChipSeq_TUMOR:site-vs-nosite:num.sites.shades-100k	E_by_ChipSeq_TUMOR:site-vs-nosite:num.not.sites.shades-100k	SE_by_ChipSeq_UPPP:site-vs-nosite:odds.ratio	SE_by_ChipSeq_UPPP:site-vs-nosite:num.sites	SE_by_ChipSeq_UPPP:site-vs-nosite:num.not.sites	SE_by_ChipSeq_UPPP:site-vs-nosite:neg.log10.corr.significance	SE_by_ChipSeq_UPPP:site-vs-nosite:num.sites.shades-10k	SE_by_ChipSeq_UPPP:site-vs-nosite:num.not.sites.shades-10k	SE_by_ChipSeq_UPPP:site-vs-nosite:num.sites.shades-100k	SE_by_ChipSeq_UPPP:site-vs-nosite:num.not.sites.shades-100k	SE_by_ChipSeq_TUMOR:site-vs-nosite:odds.ratio	SE_by_ChipSeq_TUMOR:site-vs-nosite:num.sites	SE_by_ChipSeq_TUMOR:site-vs-nosite:num.not.sites	SE_by_ChipSeq_TUMOR:site-vs-nosite:neg.log10.corr.significance	SE_by_ChipSeq_TUMOR:site-vs-nosite:num.sites.shades-10k	SE_by_ChipSeq_TUMOR:site-vs-nosite:num.not.sites.shades-10k	SE_by_ChipSeq_TUMOR:site-vs-nosite:num.sites.shades-100k	SE_by_ChipSeq_TUMOR:site-vs-nosite:num.not.sites.shades-100k
FOXF1_HUMAN		0	616	0	0	1196	0	1196		0	103	0	0	206	0	206	0.0	0	6677	0	1	12721	4	12713		0	372	0	0	744	0	743	0.0	0	538	0	1	989	4	986	Infinity	1	165	0	0	332	0	331
FOXF2_HUMAN		0	616	0	0	1196	0	1196		0	103	0	0	206	0	206		0	6677	0	0	12722	0	12717		0	372	0	0	744	0	743		0	538	0	0	990	0	990		0	166	0	0	332	0	331
FOXG1_HUMAN	0.0	0	616	0	1	1195	1	1195		0	103	0	0	206	0	206	2.29	12	6665	0	7	12715	10	12707	3.01	3	369	0	1	743	2	741	3.13	15	523	0	9	981	6	984	1.0	3	163	0	6	326	3	328
FOXH1_HUMAN	1.56	30	586	0	38	1158	30	1166	1.14	9	94	0	16	190	4	202	1.4	326	6351	2.48	451	12271	423	12294	1.36	48	324	0	73	671	68	675	1.22	202	336	0	327	663	320	670	1.1	61	105	0	115	217	94	237
FOXJ2_HUMAN		0	616	0	1	1195	0	1196		0	103	0	0	206	0	206	1.91	3	6674	0	1	12721	3	12714		0	372	0	0	744	0	743	3.69	2	536	0	0	990	1	989	0.0	0	166	0	1	331	1	330
FOXK1_HUMAN	4.57	7	609	0	3	1193	3	1193	2.03	3	100	0	0	206	3	203	1.43	56	6621	0	75	12647	61	12656	1.11	5	367	0	7	737	9	734	1.51	50	488	0	63	927	53	937	0.92	6	160	0	17	315	13	318
FOXM1_HUMAN	2.38	24	592	0	19	1177	20	1176	4.11	13	90	0	6	200	7	199	1.61	233	6444	4.13	264	12458	280	12437	1.82	48	324	0	56	688	48	695	1.81	172	366	3.36	186	804	204	786	2.58	74	92	2.92	79	253	76	255
FOXO1_HUMAN	7.59	64	552	13.56	18	1178	8	1188		0	103	0	0	206	2	204	6.73	530	6147	115.23	161	12561	140	12577	0.4	1	371	0	5	739	7	736	6.41	255	283	47.07	122	868	103	887	0.61	5	161	0	16	316	16	315
FOXO3_HUMAN	Infinity	5	611	0	0	1196	0	1196	Infinity	1	102	0	0	206	0	206	1.19	10	6667	0	16	12706	13	12704	3.54	7	365	0	4	740	4	739	1.46	11	527	0	14	976	9	981	2.39	7	159	0	6	326	4	327
FOXO4_HUMAN		0	616	0	0	1196	0	1196		0	103	0	0	206	0	206	1.91	1	6676	0	1	12721	0	12717		0	372	0	0	744	0	743	1.84	1	537	0	1	989	0	990		0	166	0	0	332	0	331
FOXP1_HUMAN	3.78	46	570	4.36	25	1171	25	1171	2.37	9	94	0	8	198	5	201	2.38	353	6324	23.66	291	12431	283	12434	2.03	44	328	0.24	44	700	46	697	2.67	226	312	13.88	211	779	206	784	2.1	65	101	0.89	78	254	75	256
FOXP2_HUMAN	2.94	9	607	0	5	1191	6	1190	6.15	3	100	0	1	205	1	205	2.34	77	6600	3.62	52	12670	63	12654	2.28	9	363	0	8	736	6	737	2.01	49	489	0.33	41	949	47	943	1.24	14	152	0	23	309	10	321
FOXP3_HUMAN	9.85	10	606	0.63	2	1194	0	1196		0	103	0	0	206	0	206	6.16	61	6616	11.04	19	12703	18	12699	0.0	0	372	0	2	742	3	740	5.84	36	502	5.3	12	978	9	981	1.0	1	165	0	2	330	6	325
GABPA_HUMAN	5.76	245	371	43.64	123	1073	118	1078	5.53	50	53	6.8	30	176	21	185	2.66	1268	5409	101.65	1029	11693	995	11722	1.76	108	264	1.19	140	604	127	616	3.37	460	78	17.42	595	395	630	360	1.66	115	51	0	191	141	184	147
GATA1_HUMAN	1.78	133	483	2.39	160	1036	137	1059		15	88	0	26	180	31	175	1.53	1016	5661	17.78	1336	11386	1186	11531	1.03	85	287	0	166	578	166	577	2.25	456	82	6.26	705	285	682	308	1.32	112	54	0	203	129	197	134
GATA2_HUMAN	1.59	116	500	0.64	152	1044	131	1065	1.5	19	84	0	26	180	27	179	1.69	1081	5596	28.37	1307	11415	1204	11513		98	274	0	164	580	197	546	2.54	465	73	8.31	708	282	683	307	1.18	119	47	0	218	114	226	105
GATA3_HUMAN	1.75	117	499	1.74	141	1055	108	1088	1.0	12	91	0	23	183	24	182	2.02	1047	5630	47.84	1072	11650	986	11731	1.23	96	276	0	150	594	164	579	2.22	427	111	7.58	628	362	593	397	1.41	113	53	0	188	144	199	132
GATA4_HUMAN	0.97	12	604	0	31	1165	24	1172	2.05	5	98	0	2	204	5	201	1.5	255	6422	3.13	316	12406	327	12390	1.18	39	333	0	67	677	52	691	1.36	171	367	0	229	761	253	737	1.29	57	109	0	96	236	76	255
GATA6_HUMAN	1.8	44	572	0	49	1147	46	1150	1.77	18	85	0	8	198	22	184	1.33	444	6233	2.39	649	12073	648	12069	1.37	72	300	0	111	633	111	632	1.36	280	258	0	426	564	440	550	1.47	96	70	0	160	172	148	183
GCR_HUMAN	2.19	160	456	6.82	165	1031	141	1055	1.83	40	63	0	53	153	40	166	1.97	1268	5409	53.42	1352	11370	1266	11451	2.45	175	197	8.13	198	546	198	545	4.24	492	46	18.11	709	281	707	283	2.67	142	24	1.74	226	106	228	103
GFI1B_HUMAN	1.95	4	612	0	4	1192	1	1195	Infinity	1	102	0	0	206	0	206	1.8	63	6614	0.39	67	12655	52	12665	1.0	2	370	0	4	740	8	735	1.83	46	492	0	48	942	41	949		4	162	0	7	325	14	317
GLI1_HUMAN		0	616	0	0	1196	2	1194		0	103	0	0	206	0	206	0.95	2	6675	0	6	12716	4	12713		1	371	0	1	743	3	740	0.92	2	536	0	5	985	4	986		1	165	0	0	332	5	326
GLI2_HUMAN	5.23	8	608	0	3	1193	3	1193	4.84	9	94	0	4	202	0	206		29	6648	0	51	12671	60	12657	3.19	17	355	0	11	733	5	738	1.4	38	500	0	47	943	51	939	2.38	25	141	0	23	309	19	312
GLI3_HUMAN		0	616	0	0	1196	0	1196		0	103	0	0	206	0	206		2	6675	0	3	12719	10	12707		0	372	0	0	744	0	743		3	535	0	4	986	8	982	1.0	1	165	0	2	330	1	330
GLIS1_HUMAN	2.52	9	607	0	7	1189	4	1192	3.45	5	98	0	1	205	3	203	1.26	54	6623	0	82	12640	73	12644	2.87	14	358	0	10	734	9	734	1.28	45	493	0	64	926	66	924	1.46	17	149	0	24	308	24	307
GLIS2_HUMAN		0	616	0	0	1196	0	1196		0	103	0	0	206	0	206		0	6677	0	0	12722	1	12716	Infinity	1	371	0	0	744	0	743		0	538	0	0	990	1	989		0	166	0	0	332	0	331
GLIS3_HUMAN	Infinity	2	614	0	0	1196	0	1196		0	103	0	0	206	1	205		3	6674	0	2	12720	6	12711	2.0	2	370	0	0	744	2	741		3	535	0	2	988	6	984	4.06	4	162	0	1	331	2	329
GMEB2_HUMAN	4.73	12	604	0	5	1191	3	1193	4.06	2	101	0	1	205	0	206	0.86	28	6649	0	78	12644	62	12655	1.41	7	365	0	10	734	10	733		34	504	0	70	920	47	943	1.4	11	155	0	15	317	16	315
GRHL1_HUMAN	2.93	6	610	0	4	1192	0	1196	14.73	13	90	2.13	1	205	2	204	1.4	36	6641	0	37	12685	49	12668	4.21	24	348	1.83	12	732	11	732	1.63	37	501	0	36	954	43	947	4.23	37	129	3.73	19	313	21	310
GRHL2_HUMAN	1.3	50	566	0	76	1120	57	1139	4.04	42	61	3.57	30	176	23	183	1.22	437	6240	0.09	693	12029	662	12055	4.05	164	208	19.43	121	623	121	622	1.51	321	217	1.2	490	500	478	512	7.11	148	18	13.29	178	154	171	160
HAND1_HUMAN		0	616	0	0	1196	0	1196		0	103	0	0	206	0	206		0	6677	0	0	12722	2	12715		0	372	0	0	744	0	743		0	538	0	0	990	2	988		0	166	0	0	332	0	331
HBP1_HUMAN		0	616	0	0	1196	0	1196		0	103	0	0	206	0	206	1.91	3	6674	0	3	12719	0	12717	2.0	1	371	0	1	743	1	742	2.77	3	535	0	2	988	0	990	4.02	2	164	0	1	331	1	330
HES1_HUMAN	23.74	12	604	2.13	1	1195	1	1195	8.28	4	99	0	0	206	1	205	1.04	29	6648	0	53	12669	39	12678	0.5	2	370	0	9	735	8	735	1.62	31	507	0	36	954	33	957	1.07	8	158	0	15	317	10	321
HES5_HUMAN		0	616	0	0	1196	0	1196		0	103	0	0	206	0	206		0	6677	0	0	12722	0	12717		0	372	0	0	744	0	743		0	538	0	0	990	0	990		0	166	0	0	332	0	331
HES7_HUMAN		0	616	0	0	1196	0	1196		0	103	0	0	206	0	206		0	6677	0	0	12722	0	12717		0	372	0	0	744	0	743		0	538	0	0	990	0	990		0	166	0	0	332	0	331
HEY1_HUMAN		0	616	0	0	1196	0	1196		0	103	0	0	206	0	206		0	6677	0	0	12722	1	12716		0	372	0	0	744	0	743		0	538	0	0	990	1	989		0	166	0	0	332	0	331
HIC2_HUMAN		0	616	0	0	1196	0	1196		0	103	0	0	206	0	206		0	6677	0	0	12722	1	12716		0	372	0	2	742	0	743		0	538	0	0	990	1	989		0	166	0	2	330	0	331
HIF1A_HUMAN	4.33	73	543	9.59	36	1160	34	1162	5.74	27	76	3.42	12	194	11	195	1.41	353	6324	2.99	486	12236	462	12255	3.04	108	264	8.63	81	663	88	655	1.67	259	279	2.91	354	636	332	658	1.97	92	74	0.69	117	215	128	203
HINFP_HUMAN	2.92	3	613	0	2	1194	2	1194		0	103	0	0	206	1	205	0.78	14	6663	0	36	12686	34	12683	1.2	3	369	0	5	739	2	741		15	523	0	29	961	26	964	1.0	5	161	0	10	322	3	328
HMBX1_HUMAN	0.97	2	614	0	4	1192	4	1192	1.0	1	102	0	1	205	2	204	1.3	28	6649	0	41	12681	33	12684	3.75	11	361	0	6	738	5	738	1.4	24	514	0	32	958	27	963	3.42	16	150	0	10	322	10	321
HNF1A_HUMAN	0.97	1	615	0	2	1194	3	1193		0	103	0	1	205	0	206	1.51	19	6658	0	24	12698	23	12694		0	372	0	0	744	6	737	1.97	20	518	0	19	971	18	972	1.25	5	161	0	4	328	8	323
HNF1B_HUMAN		0	616	0	0	1196	0	1196		0	103	0	1	205	0	206	1.91	1	6676	0	1	12721	0	12717	Infinity	2	370	0	0	744	0	743	1.84	1	537	0	1	989	0	990	Infinity	2	164	0	0	332	0	331
HNF4A_HUMAN	1.11	61	555	0	94	1102	108	1088	2.32	25	78	0	25	181	16	190	1.21	593	6084	0.8	945	11777	909	11808	1.44	102	270	0	151	593	154	589	1.42	365	173	0.14	592	398	567	423	1.73	116	50	0	190	142	183	148
HNF4G_HUMAN		21	595	0	34	1162	41	1155	2.96	11	92	0	8	198	5	201	1.38	281	6396	1.65	386	12336	392	12325	0.84	28	344	0	66	678	69	674	1.34	188	350	0	270	720	283	707	1.22	54	112	0	82	250	94	237
HSF1_HUMAN	1.64	50	566	0	61	1135	47	1149	1.93	11	92	0	12	194	11	195	1.42	375	6302	3.51	513	12209	487	12230	2.34	82	290	3.46	70	674	80	663	1.46	248	290	0.67	366	624	347	643	2.46	93	73	2.89	107	225	113	218
HSF2_HUMAN		0	616	0	0	1196	0	1196		0	103	0	0	206	0	206	2.54	4	6673	0	3	12719	3	12714		0	372	0	0	744	0	743	1.38	3	535	0	3	987	4	986		0	166	0	0	332	0	331
HSF4_HUMAN		0	616	0	0	1196	0	1196		0	103	0	0	206	0	206		0	6677	0	0	12722	1	12716		0	372	0	0	744	0	743		0	538	0	0	990	0	990		0	166	0	0	332	0	331
HTF4_HUMAN	4.15	259	357	32.65	178	1018	128	1068	3.18	47	56	2.42	34	172	43	163	2.69	1596	5081	126.82	1330	11392	1232	11485	2.32	152	220	6.45	171	573	161	582	3.91	488	50	16.68	707	283	669	321	2.22	133	33	0.96	214	118	212	119
HXA10_HUMAN		0	616	0	0	1196	0	1196		0	103	0	0	206	1	205	1.43	3	6674	0	4	12718	1	12716	Infinity	1	371	0	0	744	0	743	1.84	2	536	0	2	988	0	990	Infinity	1	165	0	0	332	0	331
HXA11_HUMAN		0	616	0	0	1196	0	1196		0	103	0	0	206	0	206		0	6677	0	0	12722	0	12717		0	372	0	0	744	0	743		0	538	0	0	990	0	990		0	166	0	0	332	0	331
HXA13_HUMAN		0	616	0	0	1196	0	1196		0	103	0	0	206	0	206	1.91	2	6675	0	2	12720	1	12716	Infinity	1	371	0	0	744	0	743	Infinity	2	536	0	0	990	0	990	Infinity	2	164	0	0	332	0	331
HXA1_HUMAN		0	616	0	0	1196	2	1194	Infinity	1	102	0	0	206	0	206		3	6674	0	8	12714	5	12712		1	371	0	3	741	1	742		3	535	0	7	983	3	987		2	164	0	2	330	4	327
HXA2_HUMAN	0.0	0	616	0	3	1193	1	1195	4.06	2	101	0	1	205	1	205	1.35	24	6653	0	33	12689	34	12683	1.68	10	362	0	11	733	12	731	1.56	25	513	0	24	966	30	960	1.63	15	151	0	13	319	19	312
HXA5_HUMAN	0.97	1	615	0	2	1194	2	1194		0	103	0	0	206	1	205	1.43	9	6668	0	12	12710	7	12710		2	370	0	2	742	5	738	1.58	6	532	0	7	983	6	984	2.02	4	162	0	3	329	4	327
HXA7_HUMAN		0	616	0	0	1196	0	1196		0	103	0	0	206	0	206		0	6677	0	0	12722	0	12717		0	372	0	0	744	0	743		0	538	0	0	990	0	990		0	166	0	0	332	0	331
HXA9_HUMAN		0	616	0	0	1196	0	1196		0	103	0	0	206	0	206	Infinity	4	6673	0	0	12722	0	12717		0	372	0	1	743	0	743	Infinity	2	536	0	0	990	0	990		0	166	0	1	331	0	331
HXB13_HUMAN	1.96	9	607	0	9	1187	7	1189	4.25	8	95	0	4	202	3	203	1.55	98	6579	0.23	121	12601	106	12611	1.63	27	345	0	23	721	34	709	1.79	80	458	0.67	88	902	81	909	1.92	40	126	0	36	296	47	284
HXB4_HUMAN	1.94	1	615	0	0	1196	1	1195		0	103	0	0	206	0	206	1.27	2	6675	0	1	12721	3	12714		0	372	0	0	744	0	743	3.69	2	536	0	1	989	1	989		0	166	0	1	331	0	331
HXB6_HUMAN		0	616	0	0	1196	0	1196		0	103	0	0	206	0	206		0	6677	0	0	12722	0	12717		0	372	0	0	744	0	743		0	538	0	0	990	0	990		0	166	0	0	332	0	331
HXB7_HUMAN		0	616	0	0	1196	0	1196		0	103	0	0	206	0	206		0	6677	0	1	12721	0	12717		0	372	0	0	744	0	743		0	538	0	1	989	0	990		0	166	0	0	332	0	331
HXB8_HUMAN		0	616	0	0	1196	0	1196		0	103	0	0	206	0	206		0	6677	0	0	12722	0	12717		0	372	0	0	744	0	743		0	538	0	0	990	0	990		0	166	0	0	332	0	331
HXC11_HUMAN		0	616	0	0	1196	0	1196		0	103	0	0	206	0	206	0.0	0	6677	0	1	12721	1	12716		0	372	0	0	744	0	743	0.0	0	538	0	1	989	1	989		0	166	0	0	332	0	331
HXC13_HUMAN		0	616	0	0	1196	0	1196		0	103	0	0	206	0	206		0	6677	0	0	12722	0	12717		0	372	0	0	744	1	742		0	538	0	0	990	0	990	2.0	1	165	0	1	331	1	330
HXC6_HUMAN	1.94	1	615	0	0	1196	1	1195	Infinity	1	102	0	0	206	0	206	1.43	3	6674	0	4	12718	3	12714	Infinity	1	371	0	0	744	0	743	1.84	3	535	0	3	987	3	987	2.01	1	165	0	1	331	0	331
HXC8_HUMAN		0	616	0	0	1196	0	1196		0	103	0	0	206	0	206	1.91	2	6675	0	2	12720	0	12717	Infinity	1	371	0	0	744	0	743		1	537	0	2	988	0	990		0	166	0	0	332	0	331
HXC9_HUMAN		2	614	0	4	1192	1	1195		0	103	0	0	206	2	204	1.75	43	6634	0	45	12677	47	12670	1.0	3	369	0	10	734	6	737	1.55	29	509	0	33	957	35	955	0.56	4	162	0	17	315	14	317
HXD11_HUMAN		0	616	0	0	1196	0	1196	Infinity	1	102	0	0	206	0	206		0	6677	0	0	12722	0	12717		0	372	0	0	744	0	743	Infinity	1	537	0	0	990	0	990		0	166	0	0	332	0	331
HXD13_HUMAN		0	616	0	0	1196	0	1196		0	103	0	0	206	0	206		0	6677	0	0	12722	0	12717		0	372	0	0	744	0	743		0	538	0	0	990	0	990		0	166	0	0	332	0	331
ID4_HUMAN		0	616	0	0	1196	0	1196		0	103	0	0	206	0	206		0	6677	0	0	12722	1	12716		0	372	0	0	744	0	743		0	538	0	0	990	1	989		0	166	0	0	332	0	331
IKZF1_HUMAN	6.05	27	589	3.57	9	1187	8	1188	0.0	0	103	0	1	205	2	204	2.86	167	6510	14.65	99	12623	113	12604	1.05	10	362	0	13	731	19	724	2.74	109	429	7.39	83	907	84	906	0.86	10	156	0	25	307	23	308
IRF1_HUMAN	3.53	174	442	18.9	120	1076	73	1123	2.34	11	92	0	9	197	10	196	3.19	1201	5476	127.52	818	11904	660	12057	1.37	51	321	0	68	676	77	666	4.21	440	98	29.48	511	479	398	592	1.42	68	98	0	109	223	106	225
IRF2_HUMAN	4.32	30	586	2.93	14	1182	12	1184	4.06	2	101	0	1	205	1	205	3.91	224	6453	30.53	108	12614	112	12605	0.25	1	371	0	8	736	13	730	2.89	115	423	8.61	85	905	82	908	0.58	5	161	0	17	315	21	310
IRF3_HUMAN	0.97	1	615	0	3	1193	2	1194		0	103	0	1	205	0	206		8	6669	0	10	12712	17	12700	2.0	1	371	0	1	743	1	742	1.04	9	529	0	8	982	16	974	1.0	1	165	0	2	330	4	327
IRF4_HUMAN	4.56	188	428	27.63	105	1091	64	1132		5	98	0	8	198	12	194	3.97	1376	5301	188.96	781	11941	613	12104	0.91	28	344	0	61	683	75	668	5.05	447	91	37.36	488	502	388	602	1.01	51	115	0	96	236	101	230
IRF5_HUMAN		0	616	0	0	1196	0	1196		0	103	0	0	206	0	206	1.27	2	6675	0	3	12719	3	12714		0	372	0	0	744	0	743	1.84	2	536	0	2	988	2	988		0	166	0	0	332	0	331
IRF8_HUMAN		0	616	0	0	1196	0	1196		0	103	0	0	206	0	206		0	6677	0	0	12722	0	12717		0	372	0	0	744	0	743		0	538	0	0	990	0	990		0	166	0	0	332	0	331
IRF9_HUMAN		0	616	0	0	1196	0	1196		0	103	0	0	206	0	206		0	6677	0	0	12722	0	12717		0	372	0	0	744	0	743		0	538	0	0	990	0	990		0	166	0	0	332	0	331
IRX2_HUMAN		1	615	0	1	1195	2	1194	1.0	1	102	0	1	205	2	204	1.03	7	6670	0	7	12715	13	12704	2.01	3	369	0	1	743	3	740	1.23	8	530	0	5	985	12	978	3.61	7	159	0	4	328	3	328
IRX3_HUMAN		0	616	0	0	1196	0	1196		0	103	0	0	206	0	206		0	6677	0	0	12722	0	12717		0	372	0	0	744	0	743		0	538	0	0	990	0	990		0	166	0	0	332	0	331
ISL1_HUMAN	0.0	0	616	0	1	1195	2	1194	6.15	3	100	0	1	205	0	206	1.36	15	6662	0	21	12701	18	12699	2.01	5	367	0	5	739	3	740	1.26	15	523	0	17	973	22	968	1.0	4	162	0	8	324	6	325
ISL2_HUMAN		0	616	0	0	1196	0	1196		0	103	0	0	206	0	206		0	6677	0	0	12722	0	12717		0	372	0	0	744	0	743		0	538	0	0	990	0	990		0	166	0	0	332	0	331
ITF2_HUMAN	4.0	127	489	16.06	73	1123	49	1147	1.18	7	96	0	10	196	12	194	2.98	824	5853	81.06	573	12149	443	12274	1.06	28	344	0	53	691	51	692	2.95	334	204	19.9	353	637	267	723		38	128	0	73	259	82	249
JDP2_HUMAN	Infinity	1	615	0	0	1196	0	1196	Infinity	1	102	0	0	206	0	206	1.27	6	6671	0	9	12713	7	12710	1.33	2	370	0	2	742	3	740	1.48	4	534	0	5	985	5	985	2.02	4	162	0	1	331	4	327
JUNB_HUMAN	1.6	9	607	0	11	1185	9	1187	2.81	8	95	0	5	201	6	200	1.49	113	6564	0.16	135	12587	145	12572	7.37	76	296	15.96	23	721	25	718	1.64	94	444	0.32	105	885	113	877	3.81	68	98	6.48	44	288	51	280
JUND_HUMAN	1.39	74	542	0	107	1089	106	1090	5.33	50	53	6.35	31	175	26	180	1.36	706	5971	5.88	1018	11704	965	11752	6.8	248	124	42.82	169	575	159	584	2.06	410	128	6.36	603	387	603	387	8.72	156	10	11.3	213	119	207	124
JUN_HUMAN	1.28	88	528	0	138	1058	122	1074	3.02	41	62	1.73	37	169	30	176	1.32	759	5918	4.88	1129	11593	1100	11617	4.7	224	148	28.02	174	570	181	562	2.04	438	100	5.15	675	315	649	341	5.33	152	14	6.91	220	112	222	109
KAISO_HUMAN	4.81	78	538	11.75	35	1161	20	1176	6.02	18	85	1.6	7	199	4	202	1.42	236	6441	1.53	321	12401	310	12407	2.42	44	328	1.26	29	715	39	704	1.66	193	345	2.23	250	740	247	743	2.03	55	111	0.34	55	277	65	266
KLF15_HUMAN	4.28	13	603	0.02	6	1190	6	1190	6.31	6	97	0	1	205	2	204	0.96	41	6636	0	81	12641	95	12622	1.51	9	363	0	9	735	12	731	1.22	49	489	0	69	921	75	915	1.18	10	156	0	13	319	17	314
KLF1_HUMAN	3.95	14	602	0.07	7	1189	5	1191	1.34	2	101	0	0	206	3	203	1.11	54	6623	0	85	12637	93	12624	2.03	11	361	0	9	735	11	732	1.51	57	481	0	67	923	72	918	1.18	14	152	0	24	308	21	310
KLF3_HUMAN	1.96	13	603	0	9	1187	13	1183	5.24	14	89	0.52	3	203	6	200		62	6615	0	101	12621	122	12595	3.81	42	330	4.01	17	727	24	719	1.29	69	469	0	88	902	101	889	3.06	54	112	3.29	40	292	45	286
KLF4_HUMAN	2.36	33	583	0.3	28	1168	17	1179	1.61	13	90	0	17	189	7	199	1.41	225	6452	1.19	308	12414	293	12424	3.39	90	282	8.62	56	688	64	679	1.59	178	360	1.39	235	755	229	761	2.91	85	81	4.46	88	244	84	247
KLF5_HUMAN	3.73	116	500	13.53	70	1126	67	1129	8.2	61	42	11.8	31	175	22	184	1.1	389	6288	0	677	12045	665	12052	4.95	175	197	25.79	102	642	113	630	1.68	311	227	3.17	427	563	445	545	5.27	134	32	11.95	147	185	143	188
KLF6_HUMAN	3.52	16	600	0.06	9	1187	3	1193	2.04	4	99	0	4	202	1	205	0.87	43	6634	0	94	12628	112	12605	1.2	9	363	0	15	729	10	733	1.22	52	486	0	79	911	80	910	1.22	15	151	0	25	307	16	315
KLF9_HUMAN	4.1	108	508	13.93	38	1158	59	1137	2.02	15	88	0	16	190	11	195	1.24	310	6367	0	479	12243	475	12242	1.4	44	328	0	65	679	60	683	1.71	259	279	3.51	348	642	336	654	1.32	63	103	0	105	227	97	234
LEF1_HUMAN		1	615	0	3	1193	1	1195	1.0	1	102	0	2	204	1	205	1.27	44	6633	0	57	12665	66	12651	1.68	10	362	0	9	735	12	731	1.07	29	509	0	39	951	50	940	2.09	14	152	0	10	322	14	317
LHX2_HUMAN	2.44	5	611	0	2	1194	4	1192	4.06	2	101	0	1	205	1	205	1.65	51	6626	0	59	12663	53	12664	3.03	19	353	0	13	731	10	733	1.91	41	497	0	41	949	36	954	2.03	21	145	0	20	312	22	309
LHX3_HUMAN		0	616	0	0	1196	0	1196		0	103	0	0	206	0	206	1.91	1	6676	0	1	12721	0	12717		0	372	0	0	744	0	743		0	538	0	1	989	0	990		0	166	0	0	332	0	331
LHX4_HUMAN		0	616	0	0	1196	1	1195		0	103	0	1	205	0	206		0	6677	0	0	12722	1	12716	2.0	1	371	0	1	743	1	742		0	538	0	0	990	0	990	2.0	1	165	0	1	331	1	330
LMX1B_HUMAN		0	616	0	0	1196	1	1195	Infinity	1	102	0	0	206	0	206	1.9	1	6676	0	1	12721	1	12716	0.0	0	372	0	1	743	1	742	3.69	2	536	0	1	989	1	989	0.0	0	166	0	1	331	1	330
LYL1_HUMAN	4.74	71	545	10.34	29	1167	32	1164	1.21	3	100	0	5	201	5	201	3.16	558	6119	59.82	357	12365	295	12422	1.05	22	350	0	35	709	42	701	2.63	267	271	14.7	270	720	200	790	1.16	37	129	0	66	266	64	267
MAFB_HUMAN		0	616	0	0	1196	0	1196		0	103	0	0	206	0	206		0	6677	0	0	12722	0	12717		0	372	0	0	744	0	743		0	538	0	0	990	0	990		0	166	0	0	332	0	331
MAFF_HUMAN	1.5	10	606	0	10	1186	13	1183	0.0	0	103	0	2	204	2	204	1.0	97	6580	0	185	12537	188	12529	1.16	23	349	0	35	709	40	703		80	458	0	146	844	150	840	1.16	34	132	0	60	272	60	271
MAFG_HUMAN	1.94	2	614	0	2	1194	1	1195		0	103	0	1	205	0	206	1.47	20	6657	0	26	12696	18	12699	0.75	3	369	0	8	736	8	735	1.76	17	521	0	18	972	16	974	1.21	9	157	0	13	319	15	316
