TF	P_by_ChipSeq_UPPP:site-vs-nosite:odds.ratio	P_by_ChipSeq_UPPP:site-vs-nosite:num.sites	P_by_ChipSeq_UPPP:site-vs-nosite:num.not.sites	P_by_ChipSeq_UPPP:site-vs-nosite:neg.log10.corr.significance	P_by_ChipSeq_UPPP:site-vs-nosite:num.sites.shades-10k	P_by_ChipSeq_UPPP:site-vs-nosite:num.not.sites.shades-10k	P_by_ChipSeq_UPPP:site-vs-nosite:num.sites.shades-100k	P_by_ChipSeq_UPPP:site-vs-nosite:num.not.sites.shades-100k	P_by_ChipSeq_TUMOR:site-vs-nosite:odds.ratio	P_by_ChipSeq_TUMOR:site-vs-nosite:num.sites	P_by_ChipSeq_TUMOR:site-vs-nosite:num.not.sites	P_by_ChipSeq_TUMOR:site-vs-nosite:neg.log10.corr.significance	P_by_ChipSeq_TUMOR:site-vs-nosite:num.sites.shades-10k	P_by_ChipSeq_TUMOR:site-vs-nosite:num.not.sites.shades-10k	P_by_ChipSeq_TUMOR:site-vs-nosite:num.sites.shades-100k	P_by_ChipSeq_TUMOR:site-vs-nosite:num.not.sites.shades-100k	E_by_ChipSeq_UPPP:site-vs-nosite:odds.ratio	E_by_ChipSeq_UPPP:site-vs-nosite:num.sites	E_by_ChipSeq_UPPP:site-vs-nosite:num.not.sites	E_by_ChipSeq_UPPP:site-vs-nosite:neg.log10.corr.significance	E_by_ChipSeq_UPPP:site-vs-nosite:num.sites.shades-10k	E_by_ChipSeq_UPPP:site-vs-nosite:num.not.sites.shades-10k	E_by_ChipSeq_UPPP:site-vs-nosite:num.sites.shades-100k	E_by_ChipSeq_UPPP:site-vs-nosite:num.not.sites.shades-100k	E_by_ChipSeq_TUMOR:site-vs-nosite:odds.ratio	E_by_ChipSeq_TUMOR:site-vs-nosite:num.sites	E_by_ChipSeq_TUMOR:site-vs-nosite:num.not.sites	E_by_ChipSeq_TUMOR:site-vs-nosite:neg.log10.corr.significance	E_by_ChipSeq_TUMOR:site-vs-nosite:num.sites.shades-10k	E_by_ChipSeq_TUMOR:site-vs-nosite:num.not.sites.shades-10k	E_by_ChipSeq_TUMOR:site-vs-nosite:num.sites.shades-100k	E_by_ChipSeq_TUMOR:site-vs-nosite:num.not.sites.shades-100k	SE_by_ChipSeq_UPPP:site-vs-nosite:odds.ratio	SE_by_ChipSeq_UPPP:site-vs-nosite:num.sites	SE_by_ChipSeq_UPPP:site-vs-nosite:num.not.sites	SE_by_ChipSeq_UPPP:site-vs-nosite:neg.log10.corr.significance	SE_by_ChipSeq_UPPP:site-vs-nosite:num.sites.shades-10k	SE_by_ChipSeq_UPPP:site-vs-nosite:num.not.sites.shades-10k	SE_by_ChipSeq_UPPP:site-vs-nosite:num.sites.shades-100k	SE_by_ChipSeq_UPPP:site-vs-nosite:num.not.sites.shades-100k	SE_by_ChipSeq_TUMOR:site-vs-nosite:odds.ratio	SE_by_ChipSeq_TUMOR:site-vs-nosite:num.sites	SE_by_ChipSeq_TUMOR:site-vs-nosite:num.not.sites	SE_by_ChipSeq_TUMOR:site-vs-nosite:neg.log10.corr.significance	SE_by_ChipSeq_TUMOR:site-vs-nosite:num.sites.shades-10k	SE_by_ChipSeq_TUMOR:site-vs-nosite:num.not.sites.shades-10k	SE_by_ChipSeq_TUMOR:site-vs-nosite:num.sites.shades-100k	SE_by_ChipSeq_TUMOR:site-vs-nosite:num.not.sites.shades-100k
DLX1_HUMAN	1.95	5	611	0	2	1194	5	1191	Infinity	2	101	0	0	206	0	206		10	6667	0	24	12698	19	12698	1.67	5	367	0	3	741	6	737		9	529	0	20	970	16	974	1.11	5	161	0	9	323	9	322
DLX2_HUMAN	3.89	2	614	0	0	1196	1	1195	4.06	2	101	0	1	205	1	205	1.63	12	6665	0	14	12708	14	12703	3.36	5	367	0	2	742	3	740	1.86	11	527	0	11	979	10	980	1.25	5	161	0	7	325	8	323
DLX4_HUMAN		0	616	0	1	1195	0	1196		0	103	0	0	206	0	206	0.82	3	6674	0	12	12710	7	12710	1.0	1	371	0	2	742	4	739	1.23	4	534	0	6	984	6	984	0.5	1	165	0	4	328	5	326
DLX6_HUMAN	Infinity	2	614	0	0	1196	0	1196	2.01	1	102	0	1	205	0	206	1.91	2	6675	0	2	12720	0	12717	Infinity	1	371	0	0	744	0	743	1.84	3	535	0	3	987	0	990	2.01	1	165	0	1	331	0	331
DMRT1_HUMAN	0.0	0	616	0	1	1195	1	1195	Infinity	1	102	0	0	206	0	206	0.82	3	6674	0	7	12715	7	12710		0	372	0	0	744	0	743	1.48	4	534	0	4	986	5	985		0	166	0	0	332	0	331
DUX4_HUMAN	1.68	12	604	0	13	1183	14	1182	2.03	3	100	0	3	203	3	203		119	6558	0	245	12477	216	12501	1.6	25	347	0	20	724	32	711		89	449	0	176	814	160	830	1.08	32	134	0	48	284	60	271
E2F1_HUMAN	6.13	205	411	39.31	90	1106	80	1116	13.45	69	34	18.15	27	179	17	189	1.17	489	6188	0	805	11917	769	11948	2.29	114	258	4.83	107	637	120	623	1.91	358	180	5.73	505	485	498	492	2.49	117	49	2.65	155	177	162	169
E2F2_HUMAN	1.62	5	611	0	4	1192	6	1190	4.06	2	101	0	1	205	1	205	0.9	25	6652	0	53	12669	58	12659	2.31	8	364	0	4	740	7	736	1.21	30	508	0	44	946	46	944		9	157	0	12	320	19	312
E2F3_HUMAN	5.09	82	534	13.01	35	1161	30	1166	9.66	34	69	7.35	10	196	10	196	0.98	196	6481	0	386	12336	379	12338	2.55	71	301	3.56	63	681	55	688	1.37	198	340	0	283	707	295	695	2.12	84	82	1.31	108	224	87	244
E2F4_HUMAN	5.75	100	516	18.06	34	1162	39	1157	4.27	20	83	1.11	8	198	11	195	1.17	263	6414	0	430	12292	402	12315	1.2	32	340	0	52	692	54	689	1.59	235	303	1.96	324	666	318	672	1.0	44	122	0	91	241	88	243
E2F6_HUMAN	5.01	186	430	30.07	81	1115	95	1101	8.04	53	50	10.4	24	182	17	189	1.25	527	6150	1.34	815	11907	768	11949	1.66	82	290	0.07	103	641	108	635	1.93	360	178	5.89	507	483	497	493	1.54	93	73	0	138	194	150	181
E2F7_HUMAN	4.12	82	534	10.37	43	1153	33	1163	6.64	30	73	4.6	6	200	12	194	1.25	290	6387	0	447	12275	428	12289	2.2	61	311	1.63	61	683	54	689	1.46	228	310	0.68	331	659	316	674	1.7	73	93	0	105	227	92	239
E2F8_HUMAN	2.6	4	612	0	2	1194	3	1193	Infinity	2	101	0	0	206	0	206	0.76	8	6669	0	20	12702	22	12695	2.01	5	367	0	2	742	5	738	0.73	6	532	0	15	975	25	965	2.02	5	161	0	5	327	5	326
EGR1_HUMAN	6.51	228	388	45.37	99	1097	93	1103	8.77	50	53	10.54	20	186	20	186	2.04	873	5804	41.27	874	11848	783	11934	2.6	106	266	6.07	99	645	97	646	3.29	426	112	20.5	531	459	508	482	2.11	106	60	1.29	149	183	151	180
EGR2_HUMAN	4.17	29	587	2.44	10	1186	14	1182	1.45	5	98	0	7	199	4	202	2.08	181	6496	8.18	168	12554	148	12569	1.31	13	359	0	18	726	20	723	2.22	126	412	5.06	120	870	112	878	1.31	21	145	0	31	301	33	298
EHF_HUMAN	1.59	13	603	0	16	1180	12	1184	2.43	7	96	0	4	202	6	200	1.61	127	6550	1.43	142	12580	151	12566	2.16	33	339	0	22	722	32	711	1.89	107	431	2.15	115	875	110	880	2.17	43	123	0.33	39	293	46	285
ELF1_HUMAN	5.26	221	395	36.83	115	1081	106	1090	5.33	51	52	6.58	32	174	25	181	2.17	1023	5654	55.8	978	11744	927	11790	2.07	117	255	3.42	135	609	134	609	3.65	450	88	21.75	578	412	577	413	2.1	120	46	0.95	184	148	180	151
ELF2_HUMAN	3.43	7	609	0	2	1194	4	1192	2.01	1	102	0	1	205	0	206	0.68	15	6662	0	61	12661	42	12675	0.67	1	371	0	3	741	3	740	0.74	15	523	0	53	937	37	953	1.34	4	162	0	4	328	6	325
ELF3_HUMAN	1.17	3	613	0	4	1192	5	1191	3.06	3	100	0	1	205	2	204	1.44	31	6646	0	37	12685	41	12676	1.61	8	364	0	7	737	10	733	1.96	33	505	0	32	958	22	968	1.11	10	156	0	13	319	18	313
